initiator_ip,responder_ip,protocol,duration,total_bytes,total_packets,byte_ratio,packet_ratio
192.168.29.190,57.155.141.113,TCP,0.0,54,1,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.084958,864,13,0.49074074074074076,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.097614,842,13,0.503562945368171,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.098507,830,13,0.5108433734939759,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.081945,872,13,0.5022935779816514,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082284,850,13,0.5152941176470588,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.095831,838,13,0.522673031026253,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082598,803,13,0.5242839352428393,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.111946,900,13,0.4677777777777778,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.097429,804,13,0.5236318407960199,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.094936,902,13,0.48226164079822614,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.087974,873,13,0.49828178694158076,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.104769,861,13,0.5052264808362369,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.054136,899,14,0.5283648498331479,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.05425,954,14,0.4979035639412998,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.053254,1002,14,0.4740518962075848,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.137546,846,13,0.5023640661938534,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.138099,824,13,0.5157766990291263,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.096234,866,14,0.5531177829099307,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.143139,825,13,0.5175757575757576,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.160646,828,13,0.5157004830917874,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.171212,816,13,0.5232843137254902,0.5384615384615384
192.168.29.190,140.82.113.21,TCP,0.0,66,1,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.081943,845,13,0.5171597633136095,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.098741,848,13,0.5153301886792453,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.097744,836,13,0.5227272727272727,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.088499,884,13,0.501131221719457,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.105194,890,13,0.49775280898876406,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.080582,878,13,0.5045558086560364,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.0926,765,12,0.48366013071895425,0.5
192.168.29.190,192.168.29.1,TCP,0.07397,876,14,0.545662100456621,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.075625,976,14,0.48975409836065575,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.143001,823,13,0.5176184690157959,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.078683,880,14,0.5454545454545454,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.137578,814,13,0.5233415233415234,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.076231,903,14,0.5282392026578073,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.135328,904,13,0.46792035398230086,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.142388,952,13,0.44432773109243695,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.120124,912,13,0.4824561403508772,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.109465,912,13,0.4824561403508772,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.121676,842,13,0.5225653206650831,0.5384615384615384
192.168.29.190,20.244.99.23,TCP,0.23243,4426,14,0.7557614098508811,0.5
192.168.29.190,192.168.29.1,TCP,0.075516,1025,13,0.4146341463414634,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.076832,1025,13,0.4146341463414634,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.105351,989,13,0.42972699696663297,0.5384615384615384
192.168.29.190,104.18.156.37,TCP,0.021097,121,2,0.45454545454545453,0.5
192.168.29.190,192.168.29.1,TCP,0.095982,875,12,0.44685714285714284,0.5
192.168.29.190,192.168.29.1,TCP,0.075579,1002,14,0.49800399201596807,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.078592,954,14,0.5230607966457023,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.081937,938,14,0.5138592750533049,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.084812,912,14,0.5285087719298246,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.084843,888,14,0.5427927927927928,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.088161,940,14,0.5106382978723404,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.088428,938,14,0.511727078891258,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.116606,914,14,0.5251641137855579,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.1148,913,14,0.5257393209200438,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.113561,962,15,0.498960498960499,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.115911,884,14,0.5429864253393665,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.121597,853,13,0.49824150058616645,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.151041,824,13,0.5157766990291263,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.150034,812,13,0.5233990147783252,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.044695,938,14,0.5159914712153518,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.048346,916,14,0.5283842794759825,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.047061,904,14,0.5353982300884956,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.109929,870,13,0.496551724137931,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.122495,838,13,0.5155131264916468,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.109313,826,13,0.5230024213075061,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.084113,913,13,0.4786418400876232,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.096094,848,13,0.5153301886792453,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082982,836,13,0.5227272727272727,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.088515,856,13,0.5070093457943925,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.081233,842,13,0.5154394299287411,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.080623,846,13,0.5130023640661938,0.5384615384615384
192.168.29.135,224.0.0.251,UDP,0.0,100,1,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.088797,881,13,0.49148694665153236,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.069292,859,13,0.5040745052386496,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.077057,847,13,0.5112160566706021,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.120469,885,13,0.49830508474576274,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.094632,940,13,0.46914893617021275,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.121875,892,13,0.4943946188340807,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.088953,912,13,0.4824561403508772,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.088219,912,13,0.4824561403508772,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.09466,842,13,0.5225653206650831,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.080553,1021,13,0.41723800195886385,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.100353,1021,13,0.41723800195886385,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.098294,985,13,0.43248730964467,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.09741,1044,13,0.4128352490421456,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.128234,1044,13,0.4128352490421456,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.111132,1001,13,0.4305694305694306,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.144952,933,14,0.5166130760986066,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.168242,933,14,0.5166130760986066,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.168107,974,15,0.4948665297741273,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.173418,947,14,0.5163674762407603,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.189733,1036,15,0.472007722007722,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.195651,947,14,0.5163674762407603,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.210437,1165,15,0.4206008583690987,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.219833,1009,15,0.48562933597621405,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.225773,1075,14,0.4558139534883721,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.250989,1079,14,0.4439295644114921,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.267983,933,14,0.5133976420150054,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.269855,909,14,0.5269526952695269,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.279244,949,14,0.5036880927291886,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.279573,941,14,0.5079702444208289,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.280923,901,14,0.5305216426193119,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.183439,931,14,0.523093447905478,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.186716,931,14,0.523093447905478,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.192144,930,14,0.5236559139784946,0.5714285714285714
192.168.29.190,185.199.108.154,TCP,0.408478,4275,11,0.5609356725146198,0.45454545454545453
192.168.29.190,192.168.29.1,TCP,0.385735,1006,14,0.4900596421471173,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.385479,1006,14,0.4900596421471173,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.389169,1056,14,0.4668560606060606,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.241975,966,14,0.5113871635610766,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.301129,912,13,0.4824561403508772,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.300307,842,13,0.5225653206650831,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.225593,878,13,0.48291571753986334,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.227963,859,13,0.4935972060535506,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.237431,810,13,0.5234567901234568,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.099018,1046,13,0.41395793499043976,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.116726,1046,13,0.41395793499043976,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.123296,1010,13,0.4287128712871287,0.5384615384615384
192.168.29.190,20.244.99.23,TCP,0.201604,4122,14,0.737748665696264,0.5
192.168.29.190,3.211.157.115,TCP,0.898523,6739,13,0.3205223326903101,0.46153846153846156
192.168.29.190,192.168.29.1,TCP,0.08204,845,13,0.5029585798816568,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.095217,942,13,0.45116772823779194,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082645,1086,13,0.39134438305709024,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.083486,1069,13,0.4106641721234799,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.119368,1069,13,0.4106641721234799,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.133325,1033,13,0.4249757986447241,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.118614,935,13,0.4855614973262032,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.107905,882,13,0.5147392290249433,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.142531,870,13,0.5218390804597701,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.141446,853,13,0.49824150058616645,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.16388,824,13,0.5157766990291263,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.14138,812,13,0.5233990147783252,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.079705,940,14,0.5106382978723404,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.099021,938,14,0.511727078891258,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.119261,914,14,0.5251641137855579,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.143014,938,14,0.5138592750533049,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.142383,912,14,0.5285087719298246,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.183298,834,13,0.513189448441247,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.145928,971,12,0.4376930998970134,0.5833333333333334
192.168.29.190,192.168.29.1,TCP,0.146718,917,11,0.46346782988004365,0.6363636363636364
192.168.29.190,192.168.29.1,TCP,0.140088,989,13,0.48432760364004046,0.6153846153846154
192.168.29.190,192.168.29.1,TCP,0.04015,849,13,0.49823321554770317,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.039479,904,13,0.46792035398230086,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.035412,952,13,0.44432773109243695,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.035419,869,13,0.4982738780207135,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.04324,828,13,0.5229468599033816,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.054807,840,13,0.5154761904761904,0.5384615384615384
192.168.29.190,52.33.247.19,TCP,3.598791,264,4,0.25,0.25
192.168.29.190,44.232.75.216,TCP,3.516496,198,3,0.3333333333333333,0.3333333333333333
192.168.29.190,52.33.247.19,TCP,3.51889,264,4,0.25,0.25
192.168.29.190,192.168.29.1,TCP,0.109539,883,13,0.4960362400906002,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.109708,878,13,0.4988610478359909,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.150019,854,13,0.5128805620608899,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.039761,333,5,0.8018018018018018,0.8
192.168.29.190,192.168.29.1,TCP,0.108589,769,11,0.48764629388816644,0.5454545454545454
192.168.29.1,192.168.29.190,TCP,0.003974,322,5,0.37267080745341613,0.4
192.168.29.1,192.168.29.190,TCP,0.012368,322,5,0.37267080745341613,0.4
192.168.29.190,192.168.29.1,TCP,0.128319,442,7,0.7262443438914027,0.7142857142857143
192.168.29.1,192.168.29.190,TCP,0.062062,678,10,0.4631268436578171,0.4
140.82.114.25,192.168.29.190,TCP,8.011117,652,10,0.45245398773006135,0.5
192.168.29.190,140.82.113.21,TCP,4.018713,1916,8,0.9091858037578288,0.625
192.168.29.190,140.82.113.21,TCP,8.012009,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.089935,953,13,0.46379853095487933,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.110893,972,13,0.4547325102880658,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.110869,904,13,0.4889380530973451,0.5384615384615384
192.168.29.98,192.168.29.255,UDP,0.0,367,1,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.022609,330,5,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.072218,919,13,0.46789989118607184,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.080098,864,13,0.4976851851851852,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.080297,852,13,0.5046948356807511,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082176,938,13,0.44989339019189767,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082893,846,13,0.4988179669030733,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.083665,822,13,0.51338199513382,0.5384615384615384
192.168.29.190,20.244.99.23,TCP,12.878527,7647,20,0.4906499280763698,0.5
192.168.29.190,3.211.157.115,TCP,12.443144,12700,28,0.3659055118110236,0.42857142857142855
192.168.29.190,192.168.29.1,TCP,0.418096,882,13,0.48299319727891155,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.418323,901,13,0.4728079911209767,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.400349,833,13,0.5114045618247299,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.090989,935,13,0.4855614973262032,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.089178,882,13,0.5147392290249433,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.099941,870,13,0.5218390804597701,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.025351,979,14,0.5137895812053116,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.089505,872,13,0.5149082568807339,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.039208,914,14,0.550328227571116,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.070753,871,12,0.4535017221584386,0.5
192.168.29.190,192.168.29.1,TCP,0.052978,926,14,0.5431965442764579,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.055073,914,14,0.550328227571116,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.110836,925,13,0.4854054054054054,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.110187,872,13,0.5149082568807339,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.156832,860,13,0.522093023255814,0.5384615384615384
192.168.29.190,140.82.113.21,TCP,15.033916,330,5,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.034045,330,5,1.0,1.0
192.168.29.190,44.232.75.216,TCP,3.393504,198,3,0.3333333333333333,0.3333333333333333
192.168.29.190,140.82.113.21,TCP,13.873524,264,4,1.0,1.0
192.168.29.190,239.255.255.250,UDP,2.977502,848,4,1.0,1.0
192.168.29.190,140.82.112.22,TCP,3.030978,198,3,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.030426,330,5,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.012393,330,5,1.0,1.0
192.168.29.98,192.168.29.255,UDP,0.0,367,1,1.0,1.0
192.168.29.190,192.168.29.1,TCP,0.09333,839,13,0.5053635280095352,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.093336,822,13,0.5158150851581509,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.093463,826,13,0.513317191283293,0.5384615384615384
192.168.29.190,140.82.112.26,TCP,14.91207,330,5,1.0,1.0
192.168.29.190,185.199.108.154,TCP,0.021174,4275,11,0.5609356725146198,0.45454545454545453
192.168.29.190,140.82.112.26,TCP,0.0,66,1,1.0,1.0
192.168.29.190,20.244.99.23,TCP,0.128665,1155,4,0.6987012987012987,0.5
192.168.29.98,192.168.29.255,UDP,0.0,367,1,1.0,1.0
192.168.29.190,140.82.113.21,TCP,39.197387,4806,9,0.3662089055347482,0.6666666666666666
192.168.29.190,140.82.113.21,TCP,15.031131,330,5,1.0,1.0
192.168.29.72,192.168.29.255,UDP,0.0,82,1,1.0,1.0
192.168.29.190,185.199.108.154,TCP,0.001145,121,2,0.45454545454545453,0.5
192.168.29.190,3.211.157.115,TCP,0.227014,121,2,0.45454545454545453,0.5
192.168.29.72,224.0.0.251,UDP,8.18328,174,2,1.0,1.0
192.168.29.72,239.255.255.250,UDP,8.200405,334,2,1.0,1.0
192.168.29.190,140.82.112.26,TCP,15.034994,330,5,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.039146,330,5,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.044098,330,5,1.0,1.0
192.168.29.98,192.168.29.255,UDP,0.0,367,1,1.0,1.0
192.168.29.190,140.82.113.21,TCP,15.017354,330,5,1.0,1.0
192.168.29.32,224.0.0.251,UDP,2.66132,2406,10,1.0,1.0
192.168.29.190,140.82.112.21,TCP,0.00554,109,2,0.5045871559633027,0.5
192.168.29.190,140.82.114.22,TCP,0.0,66,1,1.0,1.0
192.168.29.190,140.82.114.22,TCP,0.0,66,1,1.0,1.0
192.168.29.190,20.189.173.6,TCP,1.66768,9258,21,0.38312810542233744,0.5238095238095238
192.168.29.190,3.211.157.115,TCP,5.316457,283,5,0.5759717314487632,0.6
192.168.29.190,192.168.29.1,TCP,0.092535,859,13,0.49825378346915017,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.092539,859,13,0.49825378346915017,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.116442,818,13,0.5232273838630807,0.5384615384615384
192.168.29.190,20.244.99.23,TCP,0.013152,162,3,0.6666666666666666,0.6666666666666666
192.168.29.190,185.199.108.154,TCP,0.00495,294,5,0.3673469387755102,0.4
192.168.29.190,185.199.108.154,TCP,0.004951,294,5,0.3673469387755102,0.4
192.168.29.190,140.82.114.22,TCP,0.0,66,1,1.0,1.0
192.168.29.190,35.215.235.162,TCP,0.387474,162,3,0.6666666666666666,0.6666666666666666
192.168.29.190,192.168.29.1,TCP,0.08674,855,13,0.4982456140350877,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.09741,826,13,0.5157384987893463,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.11188,814,13,0.5233415233415234,0.5384615384615384
140.82.112.21,192.168.29.190,TCP,0.000368,1544,2,0.9650259067357513,0.5
192.168.29.98,192.168.29.255,UDP,0.0,367,1,1.0,1.0
192.168.29.190,140.82.114.21,TCP,3.01152,198,3,1.0,1.0
192.168.29.190,20.199.39.224,TCP,2.517469,28216,33,0.8781542387297987,0.3333333333333333
192.168.29.190,35.186.134.240,TCP,6.176014,9148,30,0.36073458679492787,0.4666666666666667
